Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
WKDEG8IM,conferencePaper,2013,"De Silva, Suranjith; Barlow, Michael; Easton, Adam",Harnessing Multi-user Design and Computation to Devise Archetypal Whole-of-body Gestures: A Novel Framework,,978-1-4503-2525-7,,10.1145/2541016.2541020,http://doi.acm.org/10.1145/2541016.2541020,"A novel framework is proposed to capture the variability in end user designed gestures and extract archetypal patterns from a pool of gestures sourced from multiple participants. The primary objective is to identify a gesture library that is preferred by the end user population so as to control a human avatar in a 3D virtual environment using whole-of-body gestures. By adapting a group based user centric study, different gesture designs from 36 participants were elicited. Analysis shows that the existing techniques are incapable of extracting archetypal patterns in gestures from such an unconstrained gesture space. As such, a formal notation, followed by hierarchical clustering, is used to provide an abstract representation of gesture designs and then to distil the archetypal gesture patterns from the pool of highly variable gestures. User acceptance of the extracted gestures was performed for validation and common motion patterns were identified from the provided user ratings. The gesture library selected by the framework is compared against the gesture library extracted based on the user ranking, and the similarities and differences between two gesture libraries are presented.",2013,2018-04-03 13:38:04,2018-04-03 13:38:04,2018-02-23 14:27:40,85–94,,,,,,Harnessing Multi-user Design and Computation to Devise Archetypal Whole-of-body Gestures,OzCHI '13,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,/home/judith/snap/zotero-snap/common/Zotero/storage/Q9DFFB6H/De Silva et al. - 2013 - Harnessing Multi-user Design and Computation to De.pdf,,ACM,gesture design; hierarchical clustering; human factors; laban movement analysis; user acceptance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFKI8Q7V,conferencePaper,2013,"Connell, Sabrina; Kuo, Pei-Yi; Liu, Liu; Piper, Anne Marie",A Wizard-of-Oz Elicitation Study Examining Child-defined Gestures with a Whole-body Interface,,978-1-4503-1918-8,,10.1145/2485760.2485823,http://doi.acm.org/10.1145/2485760.2485823,"This paper explores the use of a guessability study to examine child-defined gestures with Kinect. Applying a Wizard-of-Oz approach, gestures were elicited from six children (age 3--8) through a series of 22 task stimuli including object manipulation, navigation-based tasks, and spatial interaction. Gestures were video recorded, transcribed, and coded by three researchers employing an inductive, qualitative method of analysis. Five themes emerged from the data: (1) the influence of 2D touchscreens on children's interactions in 3D, (2) the role of contextual cues in designing a stimuli set, (3) individual preferences for dominant styles of interaction, (4) different approaches children employ to simulate the same object path, and (5) and allocentric versus egocentric approaches for manipulating objects on screen. While we did not achieve strong consensus among all of the gestures produced by children in our study, our results provide a basis for further refinement of the stimulus set and methodology used for future work examining child-defined gestures for whole-body interfaces.",2013,2018-04-03 13:33:00,2018-04-03 13:33:00,2018-02-23 09:49:32,277–280,,,,,,,IDC '13,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,ACM,children; user-defined gestures; whole-body interaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TI7XR46H,conferencePaper,2013,"Rupprecht, Dominik; Blum, Rainer; Bomsdorf, Birgit",TOWARDS A GESTURE SET FOR A VIRTUAL TRY-ON,,978-972-8939-90-8,,,http://www.iadisportal.org/digital-library/towards-a-gesture-set-for-a-virtual-try-on,Aiming at an appropriate set of free-hand gestures for a virtual try-on application two studies were conducted. Despite the special domain the focus was on application-independent interaction tasks. In the first study a technology-based approach was,2013,2020-01-25 14:06:24,2020-03-28 16:14:00,2020-01-25 14:06:24,273-277,,,,,,,,,,,,,,,,,,www.iadisportal.org,,,,,,GoogleScholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IADIS International Conference Game and Entertainment Technologies 2013 (part of MCCSIS 2013),,,,,,,,,,,,,,,
H8MET2TR,conferencePaper,2013,"Kistler, Felix; André, Elisabeth",User-Defined Body Gestures for an Interactive Storytelling Scenario,Human-Computer Interaction – INTERACT 2013,978-3-642-40480-1,,10.1007/978-3-642-40480-1_17,,"For improving full body interaction in an interactive storytelling scenario, we conducted a study to get a user-defined gesture set. 22 users performed 251 gestures while running through the story script with real interaction disabled, but with hints of what set of actions was currently requested by the application. We describe our interaction design process, starting with the conduction of the study, continuing with the analysis of the recorded data including the creation of gesture taxonomy and the selection of gesture candidates, and ending with the integration of the gestures in our application.",2013,2020-01-25 09:26:37,2020-03-28 16:08:28,,264-281,,,,,,,Lecture Notes in Computer Science,,,,Springer,"Berlin, Heidelberg",en,,,,,Springer Link,,,,,,SpringerLink,Kinect; Depth Sensor; Full Body Tracking; Interaction; Interactive Storytelling; User Defined Gestures,"Kotzé, Paula; Marsden, Gary; Lindgaard, Gitte; Wesson, Janet; Winckler, Marco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6MLHAXW6,conferencePaper,2013,"Jégo, Jean-François; Paljic, Alexis; Fuchs, Philippe",User-defined gestural interaction: A study on gesture memorization,2013 IEEE Symposium on 3D User Interfaces (3DUI),,,10.1109/3DUI.2013.6550189,,"In this paper we study the memorization of user created gestures for 3DUI. Wide public applications mostly use standardized gestures for interactions with simple contents. This work is motivated by two application cases for which a standardized approach is not possible and thus user specific or dedicated interfaces are needed. The first one is applications for people with limited sensory-motor abilities for whom generic interaction methods may not be adapted. The second one is creative arts applications, for which gesture freedom is part of the creative process. In this work, users are asked to create gestures for a set of tasks, in a specific phase, prior to using the system. We propose a user study to explore the question of gesture memorization. Gestures are recorded and recognized with a Hidden Markov Model. Results show that it seems difficult to recall more than two abstract gestures. Affordances strongly improve memorization whereas the use of colocalization has no significant effect.",2013-03,2020-01-25 13:23:31,2020-03-28 15:52:50,,7-10,,,,,,User-defined gestural interaction,,,,,,,,,,,,IEEE Xplore,,ISSN: null,,,,IEEE,gesture recognition; gesture; Gesture recognition; User studies; usability; Virtual reality; Three-dimensional displays; 3D interaction; 3DUI; creative process; generic interaction method; gesture memorization; gesture recording; hidden Markov model; hidden Markov models; Hidden Markov models; public application; Reflection; Training; user-defined gestural interaction; Visualization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013 IEEE Symposium on 3D User Interfaces (3DUI),,,,,,,,,,,,,,,
HPQM8596,journalArticle,2013,"Vatavu, Radu-Daniel",A comparative study of user-defined handheld vs. freehand gestures for home entertainment environments,Journal of Ambient Intelligence and Smart Environments,,1876-1364,10.3233/AIS-130200,https://content.iospress.com/articles/journal-of-ambient-intelligence-and-smart-environments/ais200,Home entertainment systems have been continuously providing new functionalities to their users in a process in which they evolved from standalone electronic appliances to complex digital milieus superimposed on the home environment. Such complex ente,2013-01-01,2018-04-03 13:58:28,2019-08-18 07:27:11,2018-02-28 12:53:48,187-211,,2,5,,,,,,,,,,en,,,,,content.iospress.com,,,,,,GoogleScholar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJBH3IUR,conferencePaper,2013,"Piumsomboon, Thammathip; Clark, Adrian; Billinghurst, Mark; Cockburn, Andy",User-Defined Gestures for Augmented Reality,Human-Computer Interaction – INTERACT 2013,978-3-642-40479-5 978-3-642-40480-1,,10.1007/978-3-642-40480-1_18,https://link.springer.com/chapter/10.1007/978-3-642-40480-1_18,"Recently there has been an increase in research towards using hand gestures for interaction in the field of Augmented Reality (AR). These works have primarily focused on researcher designed gestures, while little is known about user preference and behavior for gestures in AR. In this paper, we present our guessability study for hand gestures in AR in which 800 gestures were elicited for 40 selected tasks from 20 participants. Using the agreement found among gestures, a user-defined gesture set was created to guide designers to achieve consistent user-centered gestures in AR. Wobbrock’s surface taxonomy has been extended to cover dimensionalities in AR and with it, characteristics of collected gestures have been derived. Common motifs which arose from the empirical findings were applied to obtain a better understanding of users’ thought and behavior. This work aims to lead to consistent user-centered designed gestures in AR.",2013-09-02,2018-04-03 14:08:59,2019-08-17 17:43:20,2018-02-25 21:33:38,282-299,,,,,,,Lecture Notes in Computer Science,,,,"Springer, Berlin, Heidelberg",,en,,,,,link.springer.com,,,,,,SpringerLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFIP Conference on Human-Computer Interaction,,,,,,,,,,,,,,,
2BCT84G2,conferencePaper,2013,"Bailly, Gilles; Pietrzak, Thomas; Deber, Jonathan; Wigdor, Daniel J.",MéTamorphe: Augmenting Hotkey Usage with Actuated Keys,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,978-1-4503-1899-0,,10.1145/2470654.2470734,http://doi.acm.org/10.1145/2470654.2470734,"Hotkeys are an efficient method of selecting commands on a keyboard. However, these shortcuts are often underused by users. We present Métamorphe, a novel keyboard with keys that can be individually raised and lowered to promote hotkeys usage. Métamorphe augments the output of traditional keyboards with haptic and visual feedback, and offers a novel design space for user input on raised keys (e.g., gestures such as squeezing or pushing the sides of a key). We detail the implementation of Métamorphe and discuss design factors. We also report two user studies. The first is a user-defined interface study that shows that the new input vocabulary is usable and useful, and provides insights into the mental models that users associate with raised keys. The second user study shows improved eyes-free selection performance for raised keys as well as the surrounding unraised keys.",2013,2019-08-17 10:40:01,2019-08-17 15:05:35,2019-08-17 10:40:01,563–572,,,,,,MéTamorphe,CHI '13,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,"event-place: Paris, France",,/home/judith/snap/zotero-snap/common/Zotero/storage/83YSYBV4/Bailly et al. - 2013 - MéTamorphe Augmenting Hotkey Usage with Actuated .pdf,,ACM,user-defined gestures; augmented keyboard; height-changing keys; hotkeys; shape-changing interfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQA8VZ28,conferencePaper,2013,"Şahin, Atılım",Hacking the Gestures of Past for Future Interactions,Proceedings of International Conference on Advances in Mobile Computing & Multimedia,978-1-4503-2106-8,,10.1145/2536853.2536908,http://doi.acm.org/10.1145/2536853.2536908,"This study is an extraction of a wider study which had been executed as a master thesis project that has started during my studies in Malmö University Interaction Design department and continued in Istanbul Technical University Industrial Product Design Department. The study proposes a new ""vocabulary"" of gestural commands for mobile devices, based on established bodily practices and daily rituals. The research approach is grounded in a theoretical framework of phenomenology, and entails collaborative improvisation workshops akin to bodystorming. The combination of these methods is named as ""hacking the physical actions"" and the significance of this approach is highlighted, especially as a constituting source for the similar researches in this field. The resulting ideas for gestural commands are then synthesized and applied to fundamental tasks of handling mobile phones and explained with a supplementary video [10].",2013,2019-08-16 18:13:08,2019-08-16 21:38:43,2019-08-16 18:13:08,484:484–484:489,,,,,,,MoMM '13,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,"event-place: Vienna, Austria",,/home/judith/snap/zotero-snap/common/Zotero/storage/LPZX42CU/Şahin - 2013 - Hacking the Gestures of Past for Future Interactio.pdf,,ACM,mobile interaction; gestural interaction; Interaction design; phenomenology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I3V5QFQY,conferencePaper,2014,"Nebeling, Michael; Huber, Alexander; Ott, David; Norrie, Moira C.","Web on the Wall Reloaded: Implementation, Replication and Refinement of User-Defined Interaction Sets",Proceedings of the Ninth ACM International Conference on Interactive Tabletops and Surfaces,978-1-4503-2587-5,,10.1145/2669485.2669497,http://doi.acm.org/10.1145/2669485.2669497,"System design using novel forms of interaction is commonly argued to be best driven by user-driven elicitation studies. This paper describes the challenges faced, and the lessons learned, in replicating Morris's Web on the Wall guessability study which used Wizard of Oz to elicit multimodal interactions around Kinect. Our replication involved three steps. First, based on Morris's study, we developed a system, Kinect Browser, that supports 10 common browser functions using popular gestures and speech commands. Second, we developed custom experiment software for recording and analysing multimodal interactions using Kinect. Third, we conducted a study based on Morris's design. However, after first using Wizard of Oz, Kinect Browser was used in a second elicitation task, allowing us to analyse and compare the differences between the two methods.Our study demonstrates the effects of using mixed-initiative elicitation with significant differences to user-driven elicitation without system dialogue. Given the recent proliferation of guessability studies, our work extends the methodology to obtain reproducible and implementable user-defined interaction sets.",2014,2018-04-03 16:30:16,2018-04-03 16:30:31,2018-04-03 16:30:16,15–24,,,,,,Web on the Wall Reloaded,ITS '14,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,"/home/judith/snap/zotero-snap/common/Zotero/storage/LJ93DPKN/Nebeling et al. - 2014 - Web on the Wall Reloaded Implementation, Replicat.pdf",,ACM,guessability studies; mixed-initiative design; user-defined multimodal interaction sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVEWZ2Y6,conferencePaper,2014,"Grijincu, Daniela; Nacenta, Miguel A.; Kristensson, Per Ola",User-defined Interface Gestures: Dataset and Analysis,,978-1-4503-2587-5,,10.1145/2669485.2669511,http://doi.acm.org/10.1145/2669485.2669511,"We present a video-based gesture dataset and a methodology for annotating video-based gesture datasets. Our dataset consists of user-defined gestures generated by 18 participants from a previous investigation of gesture memorability. We design and use a crowd-sourced classification task to annotate the videos. The results are made available through a web-based visualization that allows researchers and designers to explore the dataset. Finally, we perform an additional descriptive analysis and quantitative modeling exercise that provide additional insights into the results of the original study. To facilitate the use of the presented methodology by other researchers we share the data, the source of the human intelligence tasks for crowdsourcing, a new taxonomy that integrates previous work, and the source code of the visualization tool.",2014,2018-04-03 13:53:32,2018-04-03 13:53:32,2018-01-23 18:04:11,25–34,,,,,,User-defined Interface Gestures,ITS '14,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,/home/judith/snap/zotero-snap/common/Zotero/storage/GEYEE42U/Grijincu et al. - 2014 - User-defined Interface Gestures Dataset and Analy.pdf,,ACM,gesture elicitation; user-defined gestures; gesture analysis methodology; gesture annotation; gesture datasets; gesture design; gesture memorability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QYYBUVP2,conferencePaper,2014,"Rust, Karen; Malu, Meethu; Anthony, Lisa; Findlater, Leah",Understanding Childdefined Gestures and Children's Mental Models for Touchscreen Tabletop Interaction,,978-1-4503-2272-0,,10.1145/2593968.2610452,http://doi.acm.org/10.1145/2593968.2610452,"Creating a predefined set of touchscreen gestures that caters to all users and age groups is difficult. To inform the design of intuitive and easy to use gestures specifically for children, we adapted a userdefined gesture study by Wobbrock et al. [12] that had been designed for adults. We then compared gestures created on an interactive tabletop by 12 children and 14 adults. Our study indicates that previous touchscreen experience strongly influences the gestures created by both groups; that adults and children create similar gestures; and that the adaptations we made allowed us to successfully elicit userdefined gestures from both children and adults. These findings will aid designers in better supporting touchscreen gestures for children, and provide a basis for further userdefined gesture studies with children.",2014,2018-04-03 13:53:32,2018-04-03 13:53:32,2018-02-23 12:30:44,201–204,,,,,,,IDC '14,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,ACM,children; touch screens; interactive tabletop; userdefined gestures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HF95ED2A,conferencePaper,2014,"Rakubutu, Tsele; Gelderblom, Helene; Cohen, Jason",Participatory Design of Touch Gestures for Informational Search on a Tablet Device,,978-1-4503-3246-0,,10.1145/2664591.2664594,http://doi.acm.org/10.1145/2664591.2664594,"This study set out to answer the question: what would a gesture set for conducting an informational search on a multi-touch tablet web browser look like if designed in collaboration with users with limited touch screen experience? In addressing this question, we developed such a user-defined gesture set, based on gestures elicited from participants with little or no experience with touch screen devices. Focusing on 24 specific search-related browser functions, 20 participants were asked, in a lab setting, to experiment with and then suggest a gesture for each of the functions. Data collection included video and audio recordings, think-aloud data, informal interviews and self-evaluation of proposed gestures. A combination of qualitative and quantitative analysis revealed the following: one-handed gestures are preferred over two-handed gestures; users who have mostly been exposed to mouse interaction prefer gestures that correspond to point-and-click actions; completion of a task should be possible with more than one gesture; and complex tasks should allow varying combinations of gestures).",2014,2018-04-03 13:39:57,2018-04-03 13:39:57,2018-01-23 22:19:00,276:276–276:285,,,,,,,SAICSIT '14,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,ACM,Web browsing; Gesture design; Multi-touch; Participatory design; Referents; Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QSBCKDTV,conferencePaper,2014,"Rovelo Ruiz, Gustavo Alberto; Vanacken, Davy; Luyten, Kris; Abad, Francisco; Camahort, Emilio",Multi-viewer Gesture-based Interaction for Omni-directional Video,,978-1-4503-2473-1,,10.1145/2556288.2557113,http://doi.acm.org/10.1145/2556288.2557113,"Omni-directional video (ODV) is a novel medium that offers viewers a 360º panoramic recording. This type of content will become more common within our living rooms in the near future, seeing that immersive displaying technologies such as 3D television are on the rise. However, little attention has been given to how to interact with ODV content. We present a gesture elicitation study in which we asked users to perform mid-air gestures that they consider to be appropriate for ODV interaction, both for individual as well as collocated settings. We are interested in the gesture variations and adaptations that come forth from individual and collocated usage. To this end, we gathered quantitative and qualitative data by means of observations, motion capture, questionnaires and interviews. This data resulted in a user-defined gesture set for ODV, alongside an in-depth analysis of the variation in gestures we observed during the study.",2014,2018-04-03 13:39:26,2018-04-03 13:39:26,2018-01-23 18:08:04,4077–4086,,,,,,,CHI '14,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,,,ACM,gesture elicitation; user-defined gestures; multi-user interaction; omni-directional video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3DC77P7,conferencePaper,2014,"Weigel, Martin; Mehta, Vikram; Steimle, Jürgen",More Than Touch: Understanding How People Use Skin As an Input Surface for Mobile Computing,,978-1-4503-2473-1,,10.1145/2556288.2557239,http://doi.acm.org/10.1145/2556288.2557239,"This paper contributes results from an empirical study of on-skin input, an emerging technique for controlling mobile devices. Skin is fundamentally different from off-body touch surfaces, opening up a new and largely unexplored interaction space. We investigate characteristics of the various skin-specific input modalities, analyze what kinds of gestures are performed on skin, and study what are preferred input locations. Our main findings show that (1) users intuitively leverage the properties of skin for a wide range of more expressive commands than on conventional touch surfaces; (2) established multi-touch gestures can be transferred to on-skin input; (3) physically uncomfortable modalities are deliberately used for irreversible commands and expressing negative emotions; and (4) the forearm and the hand are the most preferred locations on the upper limb for on-skin input. We detail on users' mental models and contribute a first consolidated set of on-skin gestures. Our findings provide guidance for developers of future sensors as well as for designers of future applications of on-skin input.",2014,2018-04-03 13:39:26,2018-04-03 13:39:26,2018-02-23 11:51:15,179–188,,,,,,More Than Touch,CHI '14,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,/home/judith/snap/zotero-snap/common/Zotero/storage/WVARIYQJ/Weigel et al. - 2014 - More Than Touch Understanding How People Use Skin.pdf,,ACM,elicitation study; deformable surface; mobile computing; on-skin input; skin gestures; touch input,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM5ZEQSY,conferencePaper,2014,"Rateau, Hanae; Grisoni, Laurent; De Araujo, Bruno",Mimetic Interaction Spaces: Controlling Distant Displays in Pervasive Environments,,978-1-4503-2184-6,,10.1145/2557500.2557545,http://doi.acm.org/10.1145/2557500.2557545,"Pervasive computing is a vision that has been an inspiring long-term target for many years now. Interaction techniques that allow one user to efficiently control many screens, or that allow several users to collaborate on one distant screen, are still hot topics, and are often considered as two different questions. Standard approaches require a strong coupling between the physical location of input device, and users. We propose to consider these two questions through the same basic concept, that uncouples physical location and user input, using a mid-air approach. We present the concept of mimetic interaction spaces (MIS), a dynamic user-definition of an imaginary input space thanks to an iconic gesture, that can be used to define mid-air interaction techniques. We describe a participative design user-study, that shows this technique has interesting acceptability and elicit some definition and deletion gestures. We finally describe a design space for MIS-based interaction, and show how such concept may be used for multi-screen control, as well as screen sharing in pervasive environments.",2014,2018-04-03 13:39:26,2018-04-03 13:39:26,2018-02-23 11:58:31,89–94,,,,,,Mimetic Interaction Spaces,IUI '14,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,/home/judith/snap/zotero-snap/common/Zotero/storage/G5GGW8MP/Rateau et al. - 2014 - Mimetic Interaction Spaces Controlling Distant Di.pdf,,ACM,contactless interaction; gestural interaction; mid-air gestures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBEJ8QF3,conferencePaper,2014,"Silpasuwanchai, Chaklam; Ren, Xiangshi",Jump and Shoot!: Prioritizing Primary and Alternative Body Gestures for Intense Gameplay,,978-1-4503-2473-1,,10.1145/2556288.2557107,http://doi.acm.org/10.1145/2556288.2557107,"Motion gestures enable natural and intuitive input in video games. However, game gestures designed by developers may not always be the optimal gestures for players. A key challenge in designing appropriate game gestures lies in the interaction-intensive nature of video games, i.e., several actions/commands may need to be executed concurrently using different body parts. This study analyzes user preferences in game gestures, with the aim of accommodating high interactivity during gameplay. Two user-elicitation studies were conducted: first, to determine user preferences, participants were asked to define gestures for common game actions/commands; second, to develop effective combined-gestures, participants were asked to define possible game gestures using each body part (one and two hands, one and two legs, head, eyes, and torso). Our study presents a set of suitable and alternative body parts for common game actions/commands. We also present some simultaneously applied game gestures that assist interaction in highly interactive game situations (e.g., selecting a weapon with the feet while shooting with the hand). Interesting design implications are further discussed, e.g., transferability between hand and leg gestures.",2014,2018-04-03 13:38:47,2018-04-03 13:38:47,2018-02-23 12:24:06,951–954,,,,,,Jump and Shoot!,CHI '14,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,/home/judith/snap/zotero-snap/common/Zotero/storage/YYQX6I7W/Silpasuwanchai and Ren - 2014 - Jump and Shoot! Prioritizing Primary and Alternat.pdf,,ACM,motion gestures; concurrent gestures; games; interactivity; user-defined approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHEAETV9,conferencePaper,2014,"Vatavu, Radu-Daniel; Zaiti, Ionut-Alexandru",Leap Gestures for TV: Insights from an Elicitation Study,,978-1-4503-2838-8,,10.1145/2602299.2602316,http://doi.acm.org/10.1145/2602299.2602316,"We present insights from a gesture elicitation study in the context of interacting with TV, during which 18 participants contributed and rated the execution difficulty and recall likeliness of free-hand gestures for 21 distinct TV tasks. Our study complements previous work on gesture interaction design for the TV set with the first exploration of fine-grained resolution 3-D finger movements and hand pose gestures. We report lower agreement rates (.20) than previous gesture studies and 72.8% recall rate and 15.8% false positive recall, results that are explained by the complexity and variability of unconstrained finger gestures. Nevertheless, we report a large 82% preference for gesture commands versus TV remote controls. We also confirm previous findings, such as people's preferences for related gestures for dichotomous tasks, and we report low agreement rates for abstract tasks, such as ""open browser"" or ""show channels list"" in our specific TV scenario. In the end, we contribute a set of design guidelines for practitioners interested in free-hand finger and hand pose gestures for interactive TV scenarios, and we release a dataset of 378 Leap Motion gesture records consisting in finger position, direction, and velocity coordinates for further studies in the community. We see this exploration as a first step toward designing low-effort high-resolution finger gestures and hand poses for lean-back interaction with the TV set.",2014,2018-04-03 13:38:47,2018-04-03 13:38:47,2018-01-23 18:09:12,131–138,,,,,,Leap Gestures for TV,TVX '14,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,/home/judith/snap/zotero-snap/common/Zotero/storage/JX8AVLKD/Vatavu and Zaiti - 2014 - Leap Gestures for TV Insights from an Elicitation.pdf,,ACM,elicitation study; motion gestures; gesture interfaces; hand pose; interactive tv; leap motion; recall likeliness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M48DAQ45,conferencePaper,2014,"Angelini, Leonardo; Carrino, Francesco; Carrino, Stefano; Caon, Maurizio; Khaled, Omar Abou; Baumgartner, Jürgen; Sonderegger, Andreas; Lalanne, Denis; Mugellini, Elena",Gesturing on the Steering Wheel: A User-elicited Taxonomy,,978-1-4503-3212-5,,10.1145/2667317.2667414,http://doi.acm.org/10.1145/2667317.2667414,"""Eyes on the road, hands on the wheel"" is a crucial principle to be taken into account designing interactions for current in-vehicle interfaces. Gesture interaction is a promising modality that can be implemented following this principle in order to reduce driver distraction and increase safety. We present the results of a user elicitation for gestures performed on the surface of the steering wheel. We asked to 40 participants to elicit 6 gestures, for a total of 240 gestures. Based on the results of this experience, we derived a taxonomy of gestures performed on the steering wheel. The analysis of the results offers useful suggestions for the design of in-vehicle gestural interfaces based on this approach.",2014,2018-04-03 13:37:06,2018-04-03 13:37:06,2018-02-23 09:40:40,31:1–31:8,,,,,,Gesturing on the Steering Wheel,AutomotiveUI '14,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,/home/judith/snap/zotero-snap/common/Zotero/storage/XVHT58CN/Angelini et al. - 2014 - Gesturing on the Steering Wheel A User-elicited T.pdf,,ACM,gestural interaction; human factors; Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2I2ZM4JY,conferencePaper,2014,"Kollee, Barry; Kratz, Sven; Dunnigan, Anthony",Exploring Gestural Interaction in Smart Spaces Using Head Mounted Devices with Ego-centric Sensing,,978-1-4503-2820-3,,10.1145/2659766.2659781,http://doi.acm.org/10.1145/2659766.2659781,"It is now possible to develop head-mounted devices (HMDs) that allow for ego-centric sensing of mid-air gestural input. Therefore, we explore the use of HMD-based gestural input techniques in smart space environments. We developed a usage scenario to evaluate HMD-based gestural interactions and conducted a user study to elicit qualitative feedback on several HMD-based gestural input techniques. Our results show that for the proposed scenario, mid-air hand gestures are preferred to head gestures for input and rated more favorably compared to non-gestural input techniques available on existing HMDs. Informed by these study results, we developed a prototype HMD system that supports gestural interactions as proposed in our scenario. We conducted a second user study to quantitatively evaluate our prototype comparing several gestural and non-gestural input techniques. The results of this study show no clear advantage or disadvantage of gestural inputs vs.~non-gestural input techniques on HMDs. We did find that voice control as (sole) input modality performed worst compared to the other input techniques we evaluated. Lastly, we present two further applications implemented with our system, demonstrating 3D scene viewing and ambient light control. We conclude by briefly discussing the implications of ego-centric vs. exo-centric tracking for interaction in smart spaces.",2014,2018-04-03 13:35:29,2018-04-03 13:35:29,2018-02-23 13:58:30,40–49,,,,,,,SUI '14,,,,ACM,"New York, NY, USA",,,,,,ACM Digital Library,,,,/home/judith/snap/zotero-snap/common/Zotero/storage/4N8U86JC/Kollee et al. - 2014 - Exploring Gestural Interaction in Smart Spaces Usi.pdf,,ACM,interaction techniques; hand gestures; ego-centric; head mounted device (HMD); modalities; smart spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
